type,GEOID,racial_majority,xfilemonth,xfileyear,month_filings,filings_avg,last_updated
County,09005,White,10,2021,37,49.6666666666667,2023-04-08
County,09005,White,11,2021,38,43,2023-04-08
County,09005,White,12,2021,41,41,2023-04-08
County,09005,White,1,2022,40,49.3333333333333,2023-04-08
County,09005,White,2,2022,22,45.3333333333333,2023-04-08
County,09005,White,3,2022,80,46.6666666666667,2023-04-08
County,09005,White,4,2022,55,43.3333333333333,2023-04-08
County,09005,White,5,2022,66,52.6666666666667,2023-04-08
County,09005,White,6,2022,67,47.3333333333333,2023-04-08
County,09005,White,7,2022,43,45,2023-04-08
County,09005,White,8,2022,64,57.3333333333333,2023-04-08
County,09005,White,9,2022,64,45.3333333333333,2023-04-08
County,09005,White,10,2022,61,49.6666666666667,2023-04-08
County,09005,White,11,2022,38,43,2023-04-08
County,09005,White,12,2022,42,41,2023-04-08
County,09005,White,1,2023,50,49.3333333333333,2023-04-08
County,09005,White,2,2023,36,45.3333333333333,2023-04-08
County,09005,White,3,2023,31,46.6666666666667,2023-04-08
County,09005,White,4,2023,10,13.6666666666667,2023-04-08
County,09007,White,1,2020,41,42.3333333333333,2023-04-08
County,09007,White,2,2020,47,34,2023-04-08
County,09007,White,3,2020,27,35.3333333333333,2023-04-08
County,09007,White,4,2020,9,30.3333333333333,2023-04-08
County,09007,White,5,2020,2,42.3333333333333,2023-04-08
County,09007,White,6,2020,2,46.3333333333333,2023-04-08
County,09007,White,7,2020,6,49.6666666666667,2023-04-08
County,09007,White,8,2020,0,49.3333333333333,2023-04-08
County,09007,White,9,2020,4,40,2023-04-08
County,09007,White,10,2020,4,52.6666666666667,2023-04-08
County,09007,White,11,2020,7,37.3333333333333,2023-04-08
County,09007,White,12,2020,13,34.6666666666667,2023-04-08
County,09007,White,1,2021,10,42.3333333333333,2023-04-08
County,09007,White,2,2021,13,34,2023-04-08
County,09007,White,3,2021,26,35.3333333333333,2023-04-08
County,09007,White,4,2021,23,30.3333333333333,2023-04-08
