type,GEOID,racial_majority,xfilemonth,xfileyear,month_filings,filings_avg,last_updated
County,35001,Latinx,1,2020,1021,999,2023-04-08
County,35001,Latinx,2,2020,885,856.666666666667,2023-04-08
County,35001,Latinx,3,2020,695,706,2023-04-08
County,35001,Latinx,4,2020,299,807.666666666667,2023-04-08
County,35001,Latinx,5,2020,273,880,2023-04-08
County,35001,Latinx,6,2020,301,941.333333333333,2023-04-08
County,35001,Latinx,7,2020,295,994,2023-04-08
County,35001,Latinx,8,2020,412,1020.66666666667,2023-04-08
County,35001,Latinx,9,2020,386,966,2023-04-08
County,35001,Latinx,10,2020,416,992.666666666667,2023-04-08
County,35001,Latinx,11,2020,425,871,2023-04-08
County,35001,Latinx,12,2020,215,854,2023-04-08
County,35001,Latinx,1,2021,546,999,2023-04-08
County,35001,Latinx,2,2021,424,856.666666666667,2023-04-08
County,35001,Latinx,3,2021,409,706,2023-04-08
County,35001,Latinx,4,2021,341,807.666666666667,2023-04-08
County,35001,Latinx,5,2021,460,880,2023-04-08
County,35001,Latinx,6,2021,490,941.333333333333,2023-04-08
County,35001,Latinx,7,2021,489,994,2023-04-08
County,35001,Latinx,8,2021,455,1020.66666666667,2023-04-08
County,35001,Latinx,9,2021,417,966,2023-04-08
County,35001,Latinx,10,2021,474,992.666666666667,2023-04-08
County,35001,Latinx,11,2021,416,871,2023-04-08
County,35001,Latinx,12,2021,403,854,2023-04-08
County,35001,Latinx,1,2022,540,999,2023-04-08
County,35001,Latinx,2,2022,560,856.666666666667,2023-04-08
County,35001,Latinx,3,2022,597,706,2023-04-08
County,35001,Latinx,4,2022,527,807.666666666667,2023-04-08
County,35001,Latinx,5,2022,625,880,2023-04-08
County,35001,Latinx,6,2022,612,941.333333333333,2023-04-08
County,35001,Latinx,7,2022,672,994,2023-04-08
County,35001,Latinx,8,2022,757,1020.66666666667,2023-04-08
County,35001,Latinx,9,2022,593,966,2023-04-08
County,35001,Latinx,10,2022,605,992.666666666667,2023-04-08
County,35001,Latinx,11,2022,635,871,2023-04-08
County,35001,Latinx,12,2022,599,854,2023-04-08
County,35001,Latinx,1,2023,787,999,2023-04-08
County,35001,Latinx,2,2023,732,856.666666666667,2023-04-08
County,35001,Latinx,3,2023,810,706,2023-04-08
County,35001,Latinx,4,2023,117,75.3333333333333,2023-04-08
County,35003,White,1,2020,1,0,2023-04-08
County,35003,White,2,2020,1,0,2023-04-08
County,35003,White,3,2020,0,0,2023-04-08
County,35003,White,5,2020,0,0,2023-04-08
County,35003,White,8,2020,0,0.333333333333333,2023-04-08
County,35003,White,9,2020,0,0.333333333333333,2023-04-08
County,35003,White,1,2021,0,0,2023-04-08
County,35003,White,2,2021,0,0,2023-04-08
County,35003,White,3,2021,1,0,2023-04-08
County,35003,White,5,2021,0,0,2023-04-08
County,35003,White,8,2021,0,0.333333333333333,2023-04-08
County,35003,White,9,2021,1,0.333333333333333,2023-04-08
County,35003,White,1,2022,1,0,2023-04-08
County,35003,White,2,2022,0,0,2023-04-08
County,35003,White,3,2022,1,0,2023-04-08
County,35003,White,5,2022,1,0,2023-04-08
County,35003,White,8,2022,2,0.333333333333333,2023-04-08
County,35003,White,9,2022,1,0.333333333333333,2023-04-08
County,35003,White,1,2023,0,0,2023-04-08
County,35003,White,2,2023,0,0,2023-04-08
County,35003,White,3,2023,0,0,2023-04-08
County,35005,Latinx,1,2020,23,26,2023-04-08
County,35005,Latinx,2,2020,22,21.3333333333333,2023-04-08
County,35005,Latinx,3,2020,15,21.3333333333333,2023-04-08
County,35005,Latinx,4,2020,10,24.3333333333333,2023-04-08
County,35005,Latinx,5,2020,10,28.6666666666667,2023-04-08
County,35005,Latinx,6,2020,26,30,2023-04-08
County,35005,Latinx,7,2020,31,22.3333333333333,2023-04-08
County,35005,Latinx,8,2020,18,31,2023-04-08
County,35005,Latinx,9,2020,17,28,2023-04-08
County,35005,Latinx,10,2020,17,27,2023-04-08
County,35005,Latinx,11,2020,14,23.3333333333333,2023-04-08
County,35005,Latinx,12,2020,8,20.3333333333333,2023-04-08
County,35005,Latinx,1,2021,15,26,2023-04-08
County,35005,Latinx,2,2021,14,21.3333333333333,2023-04-08
County,35005,Latinx,3,2021,24,21.3333333333333,2023-04-08
County,35005,Latinx,4,2021,17,24.3333333333333,2023-04-08
County,35005,Latinx,5,2021,16,28.6666666666667,2023-04-08
County,35005,Latinx,6,2021,19,30,2023-04-08
County,35005,Latinx,7,2021,17,22.3333333333333,2023-04-08
County,35005,Latinx,8,2021,21,31,2023-04-08
County,35005,Latinx,9,2021,18,28,2023-04-08
County,35005,Latinx,10,2021,20,27,2023-04-08
County,35005,Latinx,11,2021,21,23.3333333333333,2023-04-08
County,35005,Latinx,12,2021,16,20.3333333333333,2023-04-08
County,35005,Latinx,1,2022,14,26,2023-04-08
County,35005,Latinx,2,2022,20,21.3333333333333,2023-04-08
County,35005,Latinx,3,2022,23,21.3333333333333,2023-04-08
County,35005,Latinx,4,2022,28,24.3333333333333,2023-04-08
County,35005,Latinx,5,2022,15,28.6666666666667,2023-04-08
County,35005,Latinx,6,2022,27,30,2023-04-08
County,35005,Latinx,7,2022,30,22.3333333333333,2023-04-08
County,35005,Latinx,8,2022,39,31,2023-04-08
County,35005,Latinx,9,2022,28,28,2023-04-08
County,35005,Latinx,10,2022,26,27,2023-04-08
County,35005,Latinx,11,2022,30,23.3333333333333,2023-04-08
County,35005,Latinx,12,2022,16,20.3333333333333,2023-04-08
County,35005,Latinx,1,2023,25,26,2023-04-08
County,35005,Latinx,2,2023,33,21.3333333333333,2023-04-08
County,35005,Latinx,3,2023,29,21.3333333333333,2023-04-08
County,35005,Latinx,4,2023,1,4.66666666666667,2023-04-08
County,35006,Latinx,1,2020,10,5,2023-04-08
County,35006,Latinx,2,2020,3,7.33333333333333,2023-04-08
County,35006,Latinx,3,2020,1,7,2023-04-08
County,35006,Latinx,4,2020,1,7.66666666666667,2023-04-08
County,35006,Latinx,5,2020,0,11.3333333333333,2023-04-08
County,35006,Latinx,6,2020,1,11.6666666666667,2023-04-08
County,35006,Latinx,7,2020,2,8.33333333333333,2023-04-08
County,35006,Latinx,8,2020,3,7.66666666666667,2023-04-08
County,35006,Latinx,9,2020,0,11.3333333333333,2023-04-08
County,35006,Latinx,10,2020,1,11,2023-04-08
County,35006,Latinx,11,2020,1,4.66666666666667,2023-04-08
County,35006,Latinx,12,2020,0,4.66666666666667,2023-04-08
County,35006,Latinx,1,2021,1,5,2023-04-08
County,35006,Latinx,2,2021,0,7.33333333333333,2023-04-08
County,35006,Latinx,3,2021,3,7,2023-04-08
County,35006,Latinx,4,2021,2,7.66666666666667,2023-04-08
County,35006,Latinx,5,2021,0,11.3333333333333,2023-04-08
County,35006,Latinx,6,2021,4,11.6666666666667,2023-04-08
County,35006,Latinx,7,2021,10,8.33333333333333,2023-04-08
County,35006,Latinx,8,2021,1,7.66666666666667,2023-04-08
County,35006,Latinx,9,2021,3,11.3333333333333,2023-04-08
County,35006,Latinx,10,2021,5,11,2023-04-08
County,35006,Latinx,11,2021,1,4.66666666666667,2023-04-08
County,35006,Latinx,12,2021,10,4.66666666666667,2023-04-08
County,35006,Latinx,1,2022,0,5,2023-04-08
County,35006,Latinx,2,2022,2,7.33333333333333,2023-04-08
County,35006,Latinx,3,2022,2,7,2023-04-08
County,35006,Latinx,4,2022,4,7.66666666666667,2023-04-08
County,35006,Latinx,5,2022,1,11.3333333333333,2023-04-08
County,35006,Latinx,6,2022,8,11.6666666666667,2023-04-08
County,35006,Latinx,7,2022,8,8.33333333333333,2023-04-08
County,35006,Latinx,8,2022,6,7.66666666666667,2023-04-08
County,35006,Latinx,9,2022,2,11.3333333333333,2023-04-08
County,35006,Latinx,10,2022,2,11,2023-04-08
County,35006,Latinx,11,2022,5,4.66666666666667,2023-04-08
County,35006,Latinx,12,2022,2,4.66666666666667,2023-04-08
County,35006,Latinx,1,2023,7,5,2023-04-08
County,35006,Latinx,2,2023,6,7.33333333333333,2023-04-08
County,35006,Latinx,3,2023,5,7,2023-04-08
County,35006,Latinx,4,2023,1,3.33333333333333,2023-04-08
County,35007,Latinx,1,2020,2,3,2023-04-08
County,35007,Latinx,2,2020,1,2.33333333333333,2023-04-08
County,35007,Latinx,3,2020,4,1.66666666666667,2023-04-08
County,35007,Latinx,4,2020,0,2.33333333333333,2023-04-08
County,35007,Latinx,5,2020,3,2,2023-04-08
County,35007,Latinx,6,2020,1,4.33333333333333,2023-04-08
County,35007,Latinx,7,2020,2,4,2023-04-08
County,35007,Latinx,8,2020,1,5,2023-04-08
County,35007,Latinx,9,2020,2,3.33333333333333,2023-04-08
