group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed,baseline_share
Other,05/2025,,0,0,,0.100603325415677,
White,05/2025,,2764,2259.5,1.22327948661208,0.739432304038005,0.791696705638968
Black,05/2025,,,,,0.0315178147268409,0.0132432686581199
Hispanic,05/2025,,,,,0.128446555819477,0.0964956273704667
Female,05/2025,,,,,0.477200228565885,0.51009610007485
