type,GEOID,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,29001950100,1,2019-12-29,0,0,2021-01-09
Census Tract,29001950100,2,2020-01-05,0,0.125,2021-01-09
Census Tract,29001950100,3,2020-01-12,0,0,2021-01-09
Census Tract,29001950100,4,2020-01-19,0,0,2021-01-09
Census Tract,29001950100,5,2020-01-26,0,0,2021-01-09
Census Tract,29001950100,6,2020-02-02,0,0,2021-01-09
Census Tract,29001950100,7,2020-02-09,0,0,2021-01-09
Census Tract,29001950100,8,2020-02-16,0,0,2021-01-09
Census Tract,29001950100,9,2020-02-23,0,0.125,2021-01-09
Census Tract,29001950100,10,2020-03-01,0,0,2021-01-09
Census Tract,29001950100,11,2020-03-08,0,0,2021-01-09
Census Tract,29001950100,12,2020-03-15,0,0.25,2021-01-09
Census Tract,29001950100,13,2020-03-22,0,0.125,2021-01-09
Census Tract,29001950100,14,2020-03-29,0,0,2021-01-09
Census Tract,29001950100,15,2020-04-05,0,0,2021-01-09
Census Tract,29001950100,16,2020-04-12,0,0,2021-01-09
Census Tract,29001950100,17,2020-04-19,0,0,2021-01-09
Census Tract,29001950100,18,2020-04-26,0,0,2021-01-09
Census Tract,29001950100,19,2020-05-03,0,0,2021-01-09
Census Tract,29001950100,20,2020-05-10,1,0.125,2021-01-09
Census Tract,29001950100,21,2020-05-17,0,0,2021-01-09
Census Tract,29001950100,22,2020-05-24,0,0,2021-01-09
Census Tract,29001950100,23,2020-05-31,0,0.125,2021-01-09
Census Tract,29001950100,24,2020-06-07,0,0,2021-01-09
Census Tract,29001950100,25,2020-06-14,0,0,2021-01-09
Census Tract,29001950100,26,2020-06-21,0,0,2021-01-09
Census Tract,29001950100,27,2020-06-28,0,0,2021-01-09
Census Tract,29001950100,28,2020-07-05,0,0,2021-01-09
Census Tract,29001950100,29,2020-07-12,0,0,2021-01-09
Census Tract,29001950100,30,2020-07-19,0,0,2021-01-09
Census Tract,29001950100,31,2020-07-26,0,0.125,2021-01-09
Census Tract,29001950100,32,2020-08-02,0,0.125,2021-01-09
Census Tract,29001950100,33,2020-08-09,0,0,2021-01-09
Census Tract,29001950100,34,2020-08-16,0,0,2021-01-09
Census Tract,29001950100,35,2020-08-23,0,0,2021-01-09
Census Tract,29001950100,36,2020-08-30,0,0.125,2021-01-09
Census Tract,29001950100,37,2020-09-06,0,0.125,2021-01-09
Census Tract,29001950100,38,2020-09-13,0,0,2021-01-09
Census Tract,29001950100,39,2020-09-20,0,0,2021-01-09
Census Tract,29001950100,40,2020-09-27,0,0,2021-01-09
Census Tract,29001950100,41,2020-10-04,0,0,2021-01-09
Census Tract,29001950100,42,2020-10-11,0,0,2021-01-09
Census Tract,29001950100,43,2020-10-18,0,0,2021-01-09
Census Tract,29001950100,44,2020-10-25,0,0,2021-01-09
Census Tract,29001950100,45,2020-11-01,0,0,2021-01-09
Census Tract,29001950100,46,2020-11-08,0,0,2021-01-09
Census Tract,29001950100,47,2020-11-15,0,0,2021-01-09
Census Tract,29001950100,48,2020-11-22,0,0,2021-01-09
Census Tract,29001950100,49,2020-11-29,0,0,2021-01-09
Census Tract,29001950100,50,2020-12-06,0,0,2021-01-09
Census Tract,29001950100,51,2020-12-13,0,0,2021-01-09
Census Tract,29001950100,52,2020-12-20,0,0,2021-01-09
Census Tract,29001950100,53,2020-12-27,0,0,2021-01-09
Census Tract,29001950100,54,2021-01-03,0,0.125,2021-01-09
Census Tract,29001950200,1,2019-12-29,0,0,2021-01-09
Census Tract,29001950200,2,2020-01-05,0,0,2021-01-09
Census Tract,29001950200,3,2020-01-12,0,0.125,2021-01-09
Census Tract,29001950200,4,2020-01-19,0,0,2021-01-09
Census Tract,29001950200,5,2020-01-26,0,0,2021-01-09
Census Tract,29001950200,6,2020-02-02,0,0,2021-01-09
Census Tract,29001950200,7,2020-02-09,1,0,2021-01-09
Census Tract,29001950200,8,2020-02-16,0,0,2021-01-09
Census Tract,29001950200,9,2020-02-23,0,0.125,2021-01-09
Census Tract,29001950200,10,2020-03-01,0,0,2021-01-09
Census Tract,29001950200,11,2020-03-08,0,0.125,2021-01-09
Census Tract,29001950200,12,2020-03-15,0,0,2021-01-09
Census Tract,29001950200,13,2020-03-22,0,0,2021-01-09
Census Tract,29001950200,14,2020-03-29,0,0,2021-01-09
Census Tract,29001950200,15,2020-04-05,0,0.125,2021-01-09
Census Tract,29001950200,16,2020-04-12,0,0,2021-01-09
