group,month,month_last_day,month_filings,avg_filings,month_diff,end_of_moratorium,start_of_moratorium
White,January,,219,177,1.23728813559322,30/04/2020,19/03/2020
White,February,,208,157.4,1.32147395171537,30/04/2020,19/03/2020
White,March,,93,152,0.611842105263158,30/04/2020,19/03/2020
White,April,25/04/2020,1,140.8,0.00710227272727273,30/04/2020,19/03/2020
Black,January,,854,705.4,1.21066061808903,30/04/2020,19/03/2020
Black,February,,659,520.4,1.2663335895465,30/04/2020,19/03/2020
Black,March,,265,541.4,0.489471739933506,30/04/2020,19/03/2020
Black,April,25/04/2020,4,599.8,0.00666888962987663,30/04/2020,19/03/2020
Latinx,January,,112,107.8,1.03896103896104,30/04/2020,19/03/2020
Latinx,February,,77,85.4,0.901639344262295,30/04/2020,19/03/2020
Latinx,March,,31,88.8,0.349099099099099,30/04/2020,19/03/2020
Latinx,April,25/04/2020,0,86.8,0,30/04/2020,19/03/2020
Other,January,,111,87.6,1.26712328767123,30/04/2020,19/03/2020
Other,February,,105,72.2,1.45429362880886,30/04/2020,19/03/2020
Other,March,,33,70.2,0.47008547008547,30/04/2020,19/03/2020
Other,April,25/04/2020,1,65.8,0.0151975683890578,30/04/2020,19/03/2020
