type,xcourtcofips,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,12086,12086000410,Black,11/2022,1,0.5,2024-03-30
Census Tract,12086,12086000410,Black,04/2023,1,0.5,2024-03-30
Census Tract,12086,12086000410,Black,05/2023,1,2.33333333333333,2024-03-30
Census Tract,12086,12086000410,Black,08/2023,2,2,2024-03-30
Census Tract,12086,12086000410,Black,12/2023,1,1,2024-03-30
Census Tract,12086,12086000411,Black,02/2020,1,6.33333333333333,2024-03-30
Census Tract,12086,12086000411,Black,11/2022,1,7.16666666666667,2024-03-30
Census Tract,12086,12086000411,Black,02/2023,1,6.16666666666667,2024-03-30
Census Tract,12086,12086000413,Black,10/2022,1,5,2024-03-30
Census Tract,12086,12086000413,Black,11/2022,1,3.5,2024-03-30
Census Tract,12086,12086000413,Black,05/2023,1,4.5,2024-03-30
Census Tract,12086,12086000413,Black,06/2023,1,4.33333333333333,2024-03-30
Census Tract,12086,12086000413,Black,07/2023,2,4.5,2024-03-30
Census Tract,12086,12086000413,Black,08/2023,1,3.16666666666667,2024-03-30
Census Tract,12086,12086000413,Black,09/2023,1,3.33333333333333,2024-03-30
Census Tract,12086,12086000414,Black,10/2022,1,9.66666666666667,2024-03-30
Census Tract,12086,12086000414,Black,06/2023,1,8,2024-03-30
Census Tract,12086,12086000414,Black,07/2023,1,9.33333333333333,2024-03-30
Census Tract,12086,12086000415,Black,12/2022,1,1,2024-03-30
Census Tract,12086,12086000416,Other,04/2022,1,0.5,2024-03-30
Census Tract,12086,12086000416,Other,09/2023,2,0.666666666666667,2024-03-30
Census Tract,12086,12086000416,Other,10/2023,1,1.16666666666667,2024-03-30
Census Tract,12086,12086000417,Black,11/2022,1,3,2024-03-30
Census Tract,12086,12086000418,Black,05/2023,1,1.5,2024-03-30
Census Tract,12086,12086000418,Black,10/2023,2,2.5,2024-03-30
Census Tract,12086,12086000418,Black,12/2023,1,2.83333333333333,2024-03-30
Census Tract,12086,12086000419,Black,09/2020,1,1.16666666666667,2024-03-30
Census Tract,12086,12086000420,Black,02/2023,2,1.83333333333333,2024-03-30
Census Tract,12086,12086000420,Black,05/2023,1,1.33333333333333,2024-03-30
Census Tract,12086,12086000420,Black,06/2023,1,1.5,2024-03-30
Census Tract,12086,12086000420,Black,07/2023,1,2.66666666666667,2024-03-30
Census Tract,12086,12086000504,Latinx,09/2020,1,0.833333333333333,2024-03-30
