type,GEOID,racial_majority,xfilemonth,xfileyear,month_filings,filings_avg,last_updated
County,27001,White,1,2020,3,1.875,2023-04-08
County,27001,White,2,2020,0,1.5,2023-04-08
County,27001,White,3,2020,2,1.75,2023-04-08
County,27001,White,4,2020,0,2.375,2023-04-08
County,27001,White,5,2020,0,1.5,2023-04-08
County,27001,White,6,2020,0,2.375,2023-04-08
County,27001,White,7,2020,0,2.125,2023-04-08
County,27001,White,8,2020,1,2.25,2023-04-08
County,27001,White,9,2020,1,2.125,2023-04-08
County,27001,White,10,2020,0,2.75,2023-04-08
County,27001,White,11,2020,0,1.75,2023-04-08
County,27001,White,12,2020,1,2.75,2023-04-08
County,27001,White,1,2021,0,1.875,2023-04-08
County,27001,White,2,2021,0,1.5,2023-04-08
County,27001,White,3,2021,1,1.75,2023-04-08
County,27001,White,4,2021,0,2.375,2023-04-08
County,27001,White,5,2021,1,1.5,2023-04-08
County,27001,White,6,2021,3,2.375,2023-04-08
County,27001,White,7,2021,3,2.125,2023-04-08
County,27001,White,8,2021,3,2.25,2023-04-08
County,27001,White,9,2021,1,2.125,2023-04-08
County,27001,White,10,2021,4,2.75,2023-04-08
County,27001,White,11,2021,2,1.75,2023-04-08
County,27001,White,12,2021,0,2.75,2023-04-08
County,27001,White,1,2022,0,1.875,2023-04-08
County,27001,White,2,2022,1,1.5,2023-04-08
County,27001,White,3,2022,3,1.75,2023-04-08
County,27001,White,4,2022,3,2.375,2023-04-08
County,27001,White,5,2022,4,1.5,2023-04-08
County,27001,White,6,2022,0,2.375,2023-04-08
County,27001,White,7,2022,3,2.125,2023-04-08
County,27001,White,8,2022,2,2.25,2023-04-08
County,27001,White,9,2022,1,2.125,2023-04-08
County,27001,White,10,2022,0,2.75,2023-04-08
County,27001,White,11,2022,1,1.75,2023-04-08
County,27001,White,12,2022,3,2.75,2023-04-08
County,27001,White,1,2023,0,1.875,2023-04-08
County,27001,White,2,2023,1,1.5,2023-04-08
County,27001,White,3,2023,2,1.75,2023-04-08
County,27001,White,4,2023,0,0.625,2023-04-08
County,27003,White,1,2020,88,105.875,2023-04-08
County,27003,White,2,2020,70,89.875,2023-04-08
County,27003,White,3,2020,44,86.875,2023-04-08
County,27003,White,4,2020,0,89.625,2023-04-08
County,27003,White,5,2020,1,100.625,2023-04-08
County,27003,White,6,2020,3,102.75,2023-04-08
County,27003,White,7,2020,4,112.625,2023-04-08
County,27003,White,8,2020,3,106.875,2023-04-08
County,27003,White,9,2020,7,99.125,2023-04-08
County,27003,White,10,2020,7,99.25,2023-04-08
County,27003,White,11,2020,9,83.125,2023-04-08
County,27003,White,12,2020,8,89.375,2023-04-08
County,27003,White,1,2021,5,105.875,2023-04-08
County,27003,White,2,2021,8,89.75,2023-04-08
County,27003,White,3,2021,12,86.875,2023-04-08
County,27003,White,4,2021,10,89.625,2023-04-08
County,27003,White,5,2021,9,100.625,2023-04-08
County,27003,White,6,2021,11,102.75,2023-04-08
County,27003,White,7,2021,28,112.625,2023-04-08
County,27003,White,8,2021,30,106.875,2023-04-08
County,27003,White,9,2021,45,99.125,2023-04-08
County,27003,White,10,2021,60,99.25,2023-04-08
County,27003,White,11,2021,52,83.125,2023-04-08
County,27003,White,12,2021,56,89.375,2023-04-08
