id,month_date,month_filings,month_rate,month_rate_scale_max,month_diff,pct_white,pct_black,pct_hispanic
09003330100,01/03/2025,0,0.0140845070422535,0.161130063965885,1,1,0,0
09003400101,01/03/2025,2,0.00584795321637427,0.161130063965885,0.352941176470588,0.9453125,0,0
09003400102,01/03/2025,5,0.0192926045016077,0.161130063965885,0.705882352941177,1,0,0
09003400200,01/03/2025,1,0.0087719298245614,0.161130063965885,0.2,1,0,0
09003400300,01/03/2025,2,0.0109090909090909,0.161130063965885,0.333333333333333,0.897810218978102,0,0.102189781021898
09003405100,01/03/2025,16,0.0330739299610895,0.161130063965885,0.894736842105263,0.713450292397661,0.0448343079922027,0.157894736842105
09003405200,01/03/2025,21,0.0333839150227618,0.161130063965885,1.1,0.718844984802432,0.0486322188449848,0.197568389057751
09003405300,01/03/2025,17,0.0246238030095759,0.161130063965885,0.8,0.895890410958904,0.0191780821917808,0.0616438356164384
09003405401,01/03/2025,24,0.135869565217391,0.161130063965885,2.27272727272727,0.595628415300546,0,0.153005464480874
09003405402,01/03/2025,29,0.0301507537688442,0.161130063965885,0.909090909090909,0.614688128772636,0.0784708249496982,0.269617706237425
09003405500,01/03/2025,52,0.0784023668639053,0.161130063965885,1.08163265306122,0.379259259259259,0,0.542222222222222
09003405600,01/03/2025,49,0.0497017892644135,0.161130063965885,0.88495575221239,0.522388059701493,0.189054726368159,0.263681592039801
09003405700,01/03/2025,40,0.0698466780238501,0.161130063965885,1.34426229508197,0.60580204778157,0.0341296928327645,0.348122866894198
09003405801,01/03/2025,22,0.0495689655172414,0.161130063965885,1.06976744186047,0.814254859611231,0.144708423326134,0.136069114470842
09003405802,01/03/2025,3,0.0268456375838926,0.161130063965885,2,0.695945945945946,0.304054054054054,0
09003405900,01/03/2025,9,0.0404858299595142,0.161130063965885,0.952380952380952,0.788617886178862,0,0.211382113821138
09003406001,01/03/2025,54,0.0594594594594595,0.161130063965885,1.04761904761905,0.5995670995671,0.0865800865800866,0.291125541125541
09003406002,01/03/2025,10,0.0296495956873315,0.161130063965885,1.04761904761905,0.789189189189189,0.0675675675675676,0.1
09003406100,01/03/2025,82,0.0574792243767313,0.161130063965885,1.0375,0.516978516978517,0.0859320859320859,0.336105336105336
09003410101,01/03/2025,0,0.00847457627118644,0.161130063965885,0.285714285714286,0.863247863247863,0,0
09003410102,01/03/2025,1,0.0134228187919463,0.161130063965885,1,0.952702702702703,0,0
09003415300,01/03/2025,56,0.077445652173913,0.161130063965885,0.838235294117647,0.250340136054422,0.180952380952381,0.564625850340136
09003415400,01/03/2025,55,0.0515653775322284,0.161130063965885,0.982456140350877,0.391705069124424,0.205529953917051,0.413824884792627
09003415500,01/03/2025,48,0.0711175616835994,0.161130063965885,0.89908256880734,0.309593023255814,0.190406976744186,0.406976744186047
09003415600,01/03/2025,55,0.0434108527131783,0.161130063965885,0.875,0.301008533747091,0.265321955003879,0.3933281613654
09003415700,01/03/2025,24,0.0333778371161549,0.161130063965885,0.625,0.342245989304813,0.105614973262032,0.510695187165775
09003415800,01/03/2025,30,0.0457902511078287,0.161130063965885,0.775,0.526627218934911,0.170118343195266,0.297337278106509
09003415900,01/03/2025,34,0.0641025641025641,0.161130063965885,0.777777777777778,0.267889908256881,0.209174311926606,0.55045871559633
09003416000,01/03/2025,58,0.0421729807005004,0.161130063965885,0.698224852071006,0.585121602288984,0.0336194563662375,0.399141630901288
09003416100,01/03/2025,85,0.0612535612535613,0.161130063965885,0.815165876777251,0.163221667854597,0.158232359230221,0.709907341411262
09003416200,01/03/2025,82,0.0703986429177269,0.161130063965885,0.744394618834081,0.202037351443124,0.150254668930391,0.6553480475382
09003416300,01/03/2025,35,0.0323159784560144,0.161130063965885,0.571428571428571,0.302785265049416,0.050314465408805,0.629829290206649
09003416400,01/03/2025,5,0.026431718061674,0.161130063965885,0.75,0.584070796460177,0.154867256637168,0.371681415929204
09003416500,01/03/2025,29,0.0482315112540193,0.161130063965885,1.15384615384615,0.359098228663446,0.112721417069243,0.541062801932367
09003416600,01/03/2025,26,0.0343074968233799,0.161130063965885,0.683544303797468,0.314249363867684,0.148854961832061,0.473282442748092
09003416700,01/03/2025,36,0.0352045670789724,0.161130063965885,0.795698924731183,0.32,0.0723809523809524,0.558095238095238
09003416800,01/03/2025,24,0.044404973357016,0.161130063965885,0.833333333333333,0.395017793594306,0.266903914590747,0.259786476868327
09003417100,01/03/2025,73,0.100817438692098,0.161130063965885,0.954838709677419,0.27012278308322,0.08731241473397,0.604365620736699
09003417200,01/03/2025,26,0.087378640776699,0.161130063965885,0.710526315789474,0.405844155844156,0.0746753246753247,0.301948051948052
09003417300,01/03/2025,1,0.285714285714286,0.161130063965885,1,1,0,0
09003417400,01/03/2025,25,0.0326223337515684,0.161130063965885,0.981132075471698,0.616834170854271,0.10678391959799,0.0690954773869347
09003417500,01/03/2025,3,0.008,0.161130063965885,0.347826086956522,0.593186372745491,0.0360721442885772,0.260521042084168
09003420400,01/03/2025,5,0.0372670807453416,0.161130063965885,1.71428571428571,1,0,0
09003420500,01/03/2025,30,0.0247603833865815,0.161130063965885,1.06896551724138,0.756195043964828,0.0279776179056755,0.184652278177458
09003420601,01/03/2025,7,0.0134228187919463,0.161130063965885,0.432432432432432,0.860504201680672,0.0403361344537815,0
09003420602,01/03/2025,9,0.0257731958762887,0.161130063965885,0.769230769230769,0.922480620155039,0.0103359173126615,0.0594315245478036
09003420700,01/03/2025,1,0.00763358778625954,0.161130063965885,0.444444444444444,0.808429118773946,0,0.191570881226054
