position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-05-01,2026-04-30,OK HIGHLAND PARK DRIVE APARTMENTS LLC,12601 N PENNSYLVANIA AVE,391,0.439,35.599344,-97.550496
2,2025-05-01,2026-04-30,"QUAIL RIDGE OF OKLAHOMA CITY, LLC",2609 FEATHERSTONE RD,299,0.439,35.605883,-97.561618
3,2025-05-01,2026-04-30,"FBRT BRIDGEPOINT OWNER, LLC",5304 WILLOW CLIFF RD,217,0.439,35.525324,-97.611331
4,2025-05-01,2026-04-30,HERITAGE PARK PROPERTY OWNER LLC,12200 HERITAGE PARK RD,201,0.439,35.593194,-97.545679
5,2025-05-01,2026-04-30,"THE LINKS AT OKLAHOMA CITY, ALP",700 NE 122ND ST,187,0.439,35.593085,-97.500813
6,2025-05-01,2026-04-30,CSC CANDLEWOOD REALTY LLC,8557 CANDLEWOOD DR,174,0.439,35.556979,-97.631864
7,2025-05-01,2026-04-30,"YES WESTMOOR, LLC",7901 S COUNCIL RD,164,0.439,35.387753,-97.654174
8,2025-05-01,2026-04-30,QLA LIMITED PARTNERSHIP,14300 N PENNSYLVANIA AVE,162,0.439,35.613387,-97.545791
9,2025-05-01,2026-04-30,TRDWIND WOODLAND TRAILS LLC,12301 N MACARTHUR BLVD,136,0.439,35.595068,-97.622262
10,2025-05-01,2026-04-30,STONEBROOK APARTMENTS LLC,6052 W BRITTON RD,126,0.439,35.564586,-97.624077
