position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,THE REDFORD,1401 REDFORD STREET,215,0.186
2,2020-03-15,CIRCLE AT POINT PARK,8727 POINT PARK DR ,176,0.186
3,2020-03-15,BISCAYNE AT CITYVIEW,17030 IMPERIAL VALLEY DR ,136,0.186
4,2020-03-15,WREF OXFORD LP,6121 WINSOME LN ,132,0.186
5,2020-03-15,THE MILO ON WESTHEIMER,13250 WESTHEIMER RD ,119,0.186
6,2020-03-15,GPI WEST OAKS II LP,15250 GRAY RIDGE DRIVE ,117,0.186
7,2020-03-15,BRECKENRIDGE AT CITYVIEW,555 SEMINAR DRIVE ,116,0.186
8,2020-03-15,CARRIAGE PLACE,505 WELLS FARGO DR ,114,0.186
9,2020-03-15,GATEWAY AT ELLINGTON,15603 GULF FWY ,113,0.186
10,2020-03-15,RAAMCO TEXAS PROPERTIES,10500 VALLEY FORGE,112,0.186
1,2021-06-27,MCG SAPPHIRE LLC,2002 SAN SEBASTIAN CT ,41,0.248
2,2021-06-27,CIRCLE AT POINT PARK,8727 POINT PARK DR ,37,0.248
3,2021-06-27,LENOX PARK APARTMENTS,12601 SOUTH GREEN DR ,33,0.248
4,2021-06-27,CASA VERDE,1 GOODSON DRIVE ,32,0.248
5,2021-06-27,CHATEAUX DIJON APARTMENTS,5310 BEVERLY HILL ST ,26,0.248
6,2021-06-27,URBAN PALMS,8721 TOWN PARK DR,24,0.248
7,2021-06-27,VALENCIA GROVE APARTMENTS,11710 ALGONQUIN DR. ,24,0.248
8,2021-06-27,WREF OXFORD LP,6121 WINSOME LN ,21,0.248
9,2021-06-27,RAAMCO TEXAS PROPERTIES,10550 VALLEY FORGE ,19,0.248
10,2021-06-27,MCG ELEMENT LLC,400 GREENS RD ,19,0.248
