position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,VP MAPLE HILLS LLC,5100 HICKORY RD,86,0.342
2,2020-03-15,"MR ASSOCIATES, LLC",1100 E 117TH ST,63,0.342
3,2020-03-15,RIDGE AT CHESTNUT LLC,8700 HOLMES RD,62,0.342
4,2020-03-15,"KC CITADEL APARTMENTS, L.L.C.",1509 CITADEL DR,61,0.342
5,2020-03-15,HUDSON RESERVE LLC,8801 MILLWOOD DR,54,0.342
6,2020-03-15,VP KINGS QUARTERS LLC,11315 GRANDVIEW RD,54,0.342
7,2020-03-15,"BANNISTER GARDENS APARTMENTS, L.P.",9351 HARRISON ST,50,0.342
8,2020-03-15,"LA CASITA MHP, LLC",3207 OAKLAND AVE,48,0.342
9,2020-03-15,HILLCREST ESTATES APTS LLC,8304 HILLCREST RD,44,0.342
10,2020-03-15,PC VIEW HIGH LAKE LLC,9800 WILLOW AVE,43,0.342
1,2021-07-11,PLAZA CLUB CITY APTS LLC,4609 JEFFERSON ST,17,0.459
2,2021-07-11,PC VIEW HIGH LAKE LLC,10608 E 98TH TER,17,0.459
3,2021-07-11,RIDGE AT CHESTNUT LLC,8732 CHESTNUT CIR,16,0.459
4,2021-07-11,"KC WALDO HEIGHTS APTS., LLC",8111 CAMPBELL ST,9,0.459
5,2021-07-11,"BANNISTER GARDENS APARTMENTS, L.P.",806 E 93RD TER,8,0.459
6,2021-07-11,"MOIN MIDWEST MHP, LLC",12817 E 47TH ST S,7,0.459
7,2021-07-11,"AMBER SQUARE, LLC",1202 E 89TH ST,7,0.459
8,2021-07-11,"THE VILLAGE HOLDING, LLC",1200 E 83RD ST,7,0.459
9,2021-07-11,"MR ASSOCIATES, LLC",1111 E 117TH ST,7,0.459
10,2021-07-11,COLD STORAGE OWNER LLC,500 E 3RD ST,6,0.459
