position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-02-01,2026-01-31,"STILLWATER HOUSING ASSOCIATES, LP",60859 SW ATWOOD DR,25,0.739,44.011275,-121.323515
2,2025-02-01,2026-01-31,STONEBRIAR APARTMENTS LLC,21285 HWY 20,16,0.739,44.054541,-121.259857
3,2025-02-01,2026-01-31,SHEPARD INVESTMENT GROUP LLC,2500 NW REGENCY ST,15,0.739,44.074982,-121.349644
