month,month_last_day,month_filings,avg_filings,percentage_diff
January,,313,337.333333333333,0.927865612648221
February,,269,321.333333333333,0.837136929460581
March,,285,315,0.904761904761905
April,,27,317.666666666667,0.0849947534102833
May,,6,340,0.0176470588235294
June,,7,351.333333333333,0.0199240986717268
July,,29,383.666666666667,0.0755864465682016
August,,28,369.333333333333,0.0758122743682311
September,,55,343.666666666667,0.16003879728419
October,,82,378.333333333333,0.216740088105727
November,,107,322,0.332298136645963
December,12/12/2020,37,169.666666666667,0.218074656188605
