type,GEOID,racial_majority,week,week_date,week_filings,filings_avg,last_updated
County,51001,White,98,2021-11-07,0,5,2023-04-08
County,51001,White,99,2021-11-14,1,6.25,2023-04-08
County,51001,White,100,2021-11-21,0,1.5,2023-04-08
County,51001,White,101,2021-11-28,8,3.75,2023-04-08
County,51001,White,102,2021-12-05,3,3.75,2023-04-08
County,51001,White,103,2021-12-12,1,1.5,2023-04-08
County,51001,White,104,2021-12-19,3,4,2023-04-08
County,51001,White,105,2021-12-26,2,2.25,2023-04-08
County,51001,White,106,2022-01-02,2,4,2023-04-08
County,51001,White,107,2022-01-09,1,1.75,2023-04-08
County,51001,White,108,2022-01-16,2,3.75,2023-04-08
County,51001,White,109,2022-01-23,1,5,2023-04-08
County,51001,White,110,2022-01-30,0,2.75,2023-04-08
County,51001,White,111,2022-02-06,2,4.25,2023-04-08
County,51001,White,112,2022-02-13,5,3.25,2023-04-08
County,51001,White,113,2022-02-20,5,4.75,2023-04-08
County,51001,White,114,2022-02-27,1,4,2023-04-08
County,51001,White,115,2022-03-06,2,4.25,2023-04-08
County,51001,White,116,2022-03-13,0,1.75,2023-04-08
County,51001,White,117,2022-03-20,5,4.75,2023-04-08
County,51001,White,118,2022-03-27,1,4.25,2023-04-08
County,51001,White,119,2022-04-03,3,1.25,2023-04-08
County,51001,White,120,2022-04-10,2,4.25,2023-04-08
County,51001,White,121,2022-04-17,2,2.25,2023-04-08
County,51001,White,122,2022-04-24,3,5.25,2023-04-08
County,51001,White,123,2022-05-01,2,4,2023-04-08
County,51001,White,124,2022-05-08,1,1.75,2023-04-08
County,51001,White,125,2022-05-15,4,8.5,2023-04-08
County,51001,White,126,2022-05-22,2,3.5,2023-04-08
County,51001,White,127,2022-05-29,7,3.25,2023-04-08
County,51001,White,128,2022-06-05,5,8.75,2023-04-08
County,51001,White,129,2022-06-12,6,5.25,2023-04-08
County,51001,White,130,2022-06-19,2,6,2023-04-08
County,51001,White,131,2022-06-26,2,3.5,2023-04-08
County,51001,White,132,2022-07-03,4,2.5,2023-04-08
County,51001,White,133,2022-07-10,4,4,2023-04-08
County,51001,White,134,2022-07-17,5,4.5,2023-04-08
County,51001,White,135,2022-07-24,2,4.25,2023-04-08
County,51001,White,136,2022-07-31,12,1.75,2023-04-08
County,51001,White,137,2022-08-07,0,1.75,2023-04-08
County,51001,White,138,2022-08-14,2,5.25,2023-04-08
County,51001,White,139,2022-08-21,4,4.25,2023-04-08
County,51001,White,140,2022-08-28,3,3,2023-04-08
County,51001,White,141,2022-09-04,4,3.5,2023-04-08
County,51001,White,142,2022-09-11,7,4.5,2023-04-08
