week,week_date,filings_2020,filings_avg,cat,ratio
1,12/29/2019,3940,4560.75833333333,0,0.863891421565493
2,01/05/2020,13024,14948.3166666667,0,0.871268671277368
3,01/12/2020,20026,18650.6833333333,0,1.07374081914782
4,01/19/2020,17061,18532.575,0,0.920595222196592
5,01/26/2020,11822,12732.6833333333,0,0.928476715434427
6,02/02/2020,10396,12310.7,0,0.844468632977816
7,02/09/2020,16420,16297.375,0,1.00752421785717
8,02/16/2020,18412,16645.7666666667,0,1.10610705825105
9,02/23/2020,13218,11455.925,0,1.1538134196933
10,03/01/2020,9450,10490.475,0,0.900817169861231
11,03/08/2020,12393,14516.2166666667,0,0.853734845971115
12,03/15/2020,10132,15466.3916666667,0,0.655097854649355
13,03/22/2020,2421,11666.3,0,0.207520807796816
14,03/29/2020,1028,8934.3,0,0.115062176107809
15,04/05/2020,767,12292.9333333333,0,0.0623935702897057
16,04/12/2020,1436,16502.75,0,0.0870158003969035
17,04/19/2020,1410,14860.4166666667,0,0.094882938455068
18,04/26/2020,1144,10417.3583333333,0,0.109816708170577
19,05/03/2020,1118,11787.6916666667,0,0.0948446932287421
20,05/10/2020,1820,17361.15,0,0.104831765176846
21,05/17/2020,2472,17493.0916666667,0,0.141312927817696
22,05/24/2020,1954,10491.05,0,0.186253997454974
23,05/31/2020,2297,10944.7083333333,0,0.209873112196533
24,06/07/2020,3024,16381.65,0,0.184596789700671
25,06/14/2020,3542,19244.5083333333,0,0.184052506754091
26,06/21/2020,3291,16318.6083333333,0,0.201671609047544
27,06/28/2020,2092,9366.05833333333,0,0.223359702187064
28,07/05/2020,2949,14184.7166666667,0,0.207899817056621
29,07/12/2020,3935,20373.975,0,0.193138550528309
30,07/19/2020,3996,18451.275,0,0.216570399606531
31,07/26/2020,4611,13205.9,0,0.349162116932583
32,08/02/2020,3532,12702.4166666667,0,0.278057325049695
33,08/09/2020,5328,18679.7083333333,0,0.28522929292704
34,08/16/2020,8584,19935.075,0,0.430597828199794
35,08/23/2020,8855,15239.1166666667,1,0.581070425123066
36,08/30/2020,8916,8965.15833333333,1,0.994516735621884
37,09/06/2020,5804,15602.7916666667,0,0.371984714273888
38,09/13/2020,7952,20366.0833333333,0,0.390453081716743
39,09/20/2020,8097,17416.8416666667,0,0.464894850338824
40,09/27/2020,6305,12631.1833333333,0,0.499161466793161
41,10/04/2020,6256,12321.0166666667,0,0.507750307401581
42,10/11/2020,7195,19801.675,0,0.363353100179657
43,10/18/2020,9191,17910.2666666667,0,0.513169355379038
44,10/25/2020,7761,12968.0416666667,0,0.598471241802765
45,11/01/2020,7000,11869.25,0,0.589759251848263
46,11/08/2020,7555,15778.8833333333,0,0.478804478136919
47,11/15/2020,9077,20210.4833333333,0,0.449123351000182
48,11/22/2020,5597,10118.6416666667,0,0.553137484692033
49,11/29/2020,7376,11267.4583333333,0,0.654628557904585
50,12/06/2020,7486,15188.7666666667,0,0.492864243969776
51,12/13/2020,8965,18183.9333333333,0,0.493017645613894
52,12/20/2020,6703,10640.5333333333,0,0.629949626585134
53,12/27/2020,4401,9193.48333333333,0,0.478708650511504
54,01/03/2021,4279,11669.3333333333,0,0.366687614259598
55,01/10/2021,5547,16788.025,0,0.330414089805084
56,01/17/2021,5054,16550.9916666667,0,0.305359346544693
57,01/24/2021,1997,3166.5,0,0.630664771830096
58,01/31/2021,1414,2397.875,0,0.589688786946776
59,02/07/2021,1167,2444.54166666667,0,0.47739010380269
60,02/14/2021,1787,3225.95833333333,0,0.553943918473839
61,02/21/2021,2227,3167.25,0,0.70313363327808
62,02/28/2021,1785,2241.83333333333,0,0.796223329120512
63,03/07/2021,1696,2348.75,0,0.722086216072379
64,03/14/2021,1782,3194.83333333333,0,0.557775575147374
65,03/21/2021,1746,2924.66666666667,0,0.596991110098017
66,03/28/2021,1285,2287.91666666667,0,0.561646330358769
67,04/04/2021,1025,2235.83333333333,0,0.45844204248975
