site_id,month,month_filings,pct_of_historical,avg_filings,eviction_filing_rate,site
0,2020-01-01,103783,1.031,100677,0.085,all_sites
0,2020-02-01,90391,0.993,91015,0.074,all_sites
0,2020-03-01,50497,0.585,86315,0.041,all_sites
0,2020-04-01,6859,0.081,84342,0.006,all_sites
0,2020-05-01,10752,0.115,93785,0.009,all_sites
0,2020-06-01,21141,0.222,95240,0.017,all_sites
0,2020-07-01,26346,0.271,97339,0.021,all_sites
0,2020-08-01,41018,0.408,100638.5,0.033,all_sites
0,2020-09-01,55696,0.595,93654,0.045,all_sites
0,2020-10-01,56860,0.59,96409.5,0.046,all_sites
0,2020-11-01,49431,0.584,84601.5,0.04,all_sites
0,2020-12-01,48701,0.566,86067.5,0.04,all_sites
0,2021-01-01,39221,0.39,100677,0.032,all_sites
0,2021-02-01,35077,0.393,89234.5,0.029,all_sites
0,2021-03-01,45910,0.532,86315,0.037,all_sites
0,2021-04-01,38145,0.452,84342,0.031,all_sites
0,2021-05-01,38845,0.414,93785,0.032,all_sites
0,2021-06-01,48029,0.504,95240,0.039,all_sites
0,2021-07-01,48281,0.496,97339,0.039,all_sites
0,2021-08-01,50333,0.5,100638.5,0.041,all_sites
0,2021-09-01,55269,0.59,93654,0.045,all_sites
0,2021-10-01,60091,0.623,96409.5,0.049,all_sites
0,2021-11-01,56171,0.664,84601.5,0.046,all_sites
0,2021-12-01,56675,0.658,86067.5,0.046,all_sites
0,2022-01-01,69163,0.687,100677,0.056,all_sites
0,2022-02-01,68756,0.771,89234.5,0.056,all_sites
0,2022-03-01,78589,0.91,86315,0.064,all_sites
0,2022-04-01,70157,0.832,84342,0.057,all_sites
0,2022-05-01,76024,0.811,93785,0.062,all_sites
0,2022-06-01,85366,0.896,95240,0.07,all_sites
0,2022-07-01,92573,0.951,97339,0.075,all_sites
0,2022-08-01,100670,1,100638.5,0.082,all_sites
0,2022-09-01,95615,1.021,93654,0.078,all_sites
0,2022-10-01,93355,0.968,96409.5,0.076,all_sites
0,2022-11-01,85813,1.014,84601.5,0.07,all_sites
0,2022-12-01,88832,1.032,86067.5,0.072,all_sites
0,2023-01-01,101247,1.006,100677,0.082,all_sites
0,2023-02-01,88245,0.989,89234.5,0.072,all_sites
0,2023-03-01,91474,1.06,86315,0.074,all_sites
0,2023-04-01,83353,0.988,84342,0.068,all_sites
0,2023-05-01,94878,1.012,93785,0.077,all_sites
0,2023-06-01,99297,1.043,95240,0.081,all_sites
0,2023-07-01,95372,0.98,97339,0.078,all_sites
0,2023-08-01,103775,1.031,100638.5,0.085,all_sites
0,2023-09-01,93269,0.996,93654,0.076,all_sites
0,2023-10-01,100886,1.046,96409.5,0.082,all_sites
0,2023-11-01,88344,1.044,84601.5,0.072,all_sites
0,2023-12-01,86332,1.003,86067.5,0.07,all_sites
0,2024-01-01,99845,0.992,100677,0.081,all_sites
0,2024-02-01,93525,1.028,91015,0.076,all_sites
0,2024-03-01,80917,0.937,86315,0.066,all_sites
0,2024-04-01,85155,1.01,84342,0.069,all_sites
0,2024-05-01,92344,0.985,93785,0.075,all_sites
0,2024-06-01,90836,0.954,95240,0.074,all_sites
0,2024-07-01,98931,1.016,97339,0.081,all_sites
0,2024-08-01,97045,0.964,100638.5,0.079,all_sites
0,2024-09-01,93537,0.999,93654,0.076,all_sites
0,2024-10-01,91821,0.952,96409.5,0.075,all_sites
0,2024-11-01,80701,0.954,84601.5,0.066,all_sites
0,2024-12-01,85803,1.006,85302,0.07,all_sites
0,2025-01-01,97776,0.988,98976.5,0.08,all_sites
0,2025-02-01,83633,0.953,87756,0.068,all_sites
0,2025-03-01,80583,0.95,84845,0.066,all_sites
0,2025-04-01,73617,0.965,76309.5,0.06,all_sites
0,2025-05-01,76079,0.923,82432.5,0.062,all_sites
0,2025-06-01,66887,0.824,81180,0.054,all_sites
35001,2020-01-01,1023,1.355,755,0.122,albuquerque
35001,2020-02-01,888,1.262,703.5,0.106,albuquerque
35001,2020-03-01,698,0.963,724.5,0.083,albuquerque
35001,2020-04-01,298,0.401,743,0.036,albuquerque
35001,2020-05-01,271,0.335,809,0.032,albuquerque
35001,2020-06-01,301,0.381,790.5,0.036,albuquerque
35001,2020-07-01,295,0.37,797.5,0.035,albuquerque
35001,2020-08-01,410,0.455,900.5,0.049,albuquerque
35001,2020-09-01,386,0.497,777,0.046,albuquerque
35001,2020-10-01,416,0.51,815.5,0.05,albuquerque
35001,2020-11-01,425,0.598,710.5,0.051,albuquerque
35001,2020-12-01,215,0.293,733.5,0.026,albuquerque
35001,2021-01-01,550,0.728,755,0.066,albuquerque
35001,2021-02-01,423,0.605,699.5,0.051,albuquerque
35001,2021-03-01,409,0.565,724.5,0.049,albuquerque
35001,2021-04-01,342,0.46,743,0.041,albuquerque
35001,2021-05-01,463,0.572,809,0.055,albuquerque
35001,2021-06-01,489,0.619,790.5,0.058,albuquerque
35001,2021-07-01,488,0.612,797.5,0.058,albuquerque
35001,2021-08-01,455,0.505,900.5,0.054,albuquerque
35001,2021-09-01,416,0.535,777,0.05,albuquerque
35001,2021-10-01,474,0.581,815.5,0.057,albuquerque
35001,2021-11-01,416,0.586,710.5,0.05,albuquerque
35001,2021-12-01,403,0.549,733.5,0.048,albuquerque
35001,2022-01-01,540,0.715,755,0.064,albuquerque
35001,2022-02-01,560,0.801,699.5,0.067,albuquerque
35001,2022-03-01,597,0.824,724.5,0.071,albuquerque
35001,2022-04-01,524,0.705,743,0.063,albuquerque
35001,2022-05-01,623,0.77,809,0.074,albuquerque
35001,2022-06-01,612,0.774,790.5,0.073,albuquerque
35001,2022-07-01,672,0.843,797.5,0.08,albuquerque
35001,2022-08-01,755,0.838,900.5,0.09,albuquerque
35001,2022-09-01,593,0.763,777,0.071,albuquerque
35001,2022-10-01,603,0.739,815.5,0.072,albuquerque
35001,2022-11-01,635,0.894,710.5,0.076,albuquerque
35001,2022-12-01,599,0.817,733.5,0.072,albuquerque
35001,2023-01-01,794,1.052,755,0.095,albuquerque
35001,2023-02-01,738,1.055,699.5,0.088,albuquerque
35001,2023-03-01,805,1.111,724.5,0.096,albuquerque
35001,2023-04-01,808,1.087,743,0.096,albuquerque
35001,2023-05-01,892,1.103,809,0.107,albuquerque
35001,2023-06-01,821,1.039,790.5,0.098,albuquerque
35001,2023-07-01,817,1.024,797.5,0.098,albuquerque
35001,2023-08-01,949,1.054,900.5,0.113,albuquerque
35001,2023-09-01,768,0.988,777,0.092,albuquerque
35001,2023-10-01,857,1.051,815.5,0.102,albuquerque
35001,2023-11-01,689,0.97,710.5,0.082,albuquerque
35001,2023-12-01,749,1.021,733.5,0.089,albuquerque
35001,2024-01-01,716,0.948,755,0.086,albuquerque
35001,2024-02-01,669,0.951,703.5,0.08,albuquerque
35001,2024-03-01,644,0.889,724.5,0.077,albuquerque
35001,2024-04-01,678,0.913,743,0.081,albuquerque
35001,2024-05-01,726,0.897,809,0.087,albuquerque
35001,2024-06-01,760,0.961,790.5,0.091,albuquerque
35001,2024-07-01,778,0.976,797.5,0.093,albuquerque
35001,2024-08-01,852,0.946,900.5,0.102,albuquerque
35001,2024-09-01,786,1.012,777,0.094,albuquerque
35001,2024-10-01,774,0.949,815.5,0.092,albuquerque
35001,2024-11-01,732,1.03,710.5,0.087,albuquerque
35001,2024-12-01,718,0.979,733.5,0.086,albuquerque
35001,2025-01-01,778,1.03,755,0.093,albuquerque
35001,2025-02-01,633,0.905,699.5,0.076,albuquerque
35001,2025-03-01,578,0.798,724.5,0.069,albuquerque
35001,2025-04-01,621,0.836,743,0.074,albuquerque
35001,2025-05-01,616,0.761,809,0.074,albuquerque
35001,2025-06-01,579,0.732,790.5,0.069,albuquerque
48453,2020-01-01,1101,1.15,957,0.045,austin
48453,2020-02-01,1084,1.126,962.5,0.045,austin
48453,2020-03-01,639,0.709,901.5,0.026,austin
48453,2020-04-01,23,0.028,817.5,0.001,austin
48453,2020-05-01,28,0.031,915,0.001,austin
48453,2020-06-01,130,0.137,952,0.005,austin
48453,2020-07-01,67,0.069,976.5,0.003,austin
48453,2020-08-01,49,0.054,915,0.002,austin
48453,2020-09-01,69,0.073,949.5,0.003,austin
48453,2020-10-01,77,0.075,1020.5,0.003,austin
48453,2020-11-01,62,0.067,921,0.003,austin
48453,2020-12-01,66,0.071,926,0.003,austin
48453,2021-01-01,78,0.082,957,0.003,austin
48453,2021-02-01,54,0.057,941.5,0.002,austin
48453,2021-03-01,100,0.111,901.5,0.004,austin
48453,2021-04-01,108,0.132,817.5,0.004,austin
48453,2021-05-01,104,0.114,915,0.004,austin
48453,2021-06-01,112,0.118,952,0.005,austin
48453,2021-07-01,141,0.144,976.5,0.006,austin
48453,2021-08-01,162,0.177,915,0.007,austin
48453,2021-09-01,170,0.179,949.5,0.007,austin
48453,2021-10-01,186,0.182,1020.5,0.008,austin
48453,2021-11-01,245,0.266,921,0.01,austin
48453,2021-12-01,290,0.313,926,0.012,austin
48453,2022-01-01,464,0.485,957,0.019,austin
48453,2022-02-01,734,0.78,941.5,0.03,austin
48453,2022-03-01,1061,1.177,901.5,0.044,austin
48453,2022-04-01,999,1.222,817.5,0.041,austin
48453,2022-05-01,789,0.862,915,0.033,austin
48453,2022-06-01,741,0.778,952,0.031,austin
48453,2022-07-01,781,0.8,976.5,0.032,austin
48453,2022-08-01,882,0.964,915,0.036,austin
48453,2022-09-01,805,0.848,949.5,0.033,austin
48453,2022-10-01,851,0.834,1020.5,0.035,austin
48453,2022-11-01,577,0.626,921,0.024,austin
48453,2022-12-01,516,0.557,926,0.021,austin
48453,2023-01-01,711,0.743,957,0.029,austin
48453,2023-02-01,777,0.825,941.5,0.032,austin
48453,2023-03-01,791,0.877,901.5,0.033,austin
48453,2023-04-01,811,0.992,817.5,0.033,austin
48453,2023-05-01,779,0.851,915,0.032,austin
48453,2023-06-01,937,0.984,952,0.039,austin
48453,2023-07-01,828,0.848,976.5,0.034,austin
48453,2023-08-01,746,0.815,915,0.031,austin
48453,2023-09-01,633,0.667,949.5,0.026,austin
48453,2023-10-01,882,0.864,1020.5,0.036,austin
48453,2023-11-01,812,0.882,921,0.033,austin
48453,2023-12-01,744,0.803,926,0.031,austin
48453,2024-01-01,1203,1.257,957,0.05,austin
48453,2024-02-01,1148,1.193,962.5,0.047,austin
48453,2024-03-01,1012,1.123,901.5,0.042,austin
48453,2024-04-01,824,1.008,817.5,0.034,austin
48453,2024-05-01,1051,1.149,915,0.043,austin
48453,2024-06-01,967,1.016,952,0.04,austin
48453,2024-07-01,1125,1.152,976.5,0.046,austin
48453,2024-08-01,1084,1.185,915,0.045,austin
48453,2024-09-01,1266,1.333,949.5,0.052,austin
48453,2024-10-01,1159,1.136,1020.5,0.048,austin
48453,2024-11-01,1030,1.118,921,0.042,austin
48453,2024-12-01,1108,1.197,926,0.046,austin
48453,2025-01-01,1287,1.345,957,0.053,austin
48453,2025-02-01,1248,1.326,941.5,0.051,austin
48453,2025-03-01,1235,1.37,901.5,0.051,austin
48453,2025-04-01,1112,1.36,817.5,0.046,austin
48453,2025-05-01,1140,1.246,915,0.047,austin
48453,2025-06-01,1204,1.265,952,0.05,austin
09001,2020-01-01,312,0.915,341,0.032,bridgeport
09001,2020-02-01,259,0.743,348.5,0.026,bridgeport
09001,2020-03-01,286,0.856,334,0.029,bridgeport
09001,2020-04-01,27,0.076,353,0.003,bridgeport
09001,2020-05-01,6,0.017,349.5,0.001,bridgeport
09001,2020-06-01,5,0.014,366,0.001,bridgeport
09001,2020-07-01,28,0.082,342,0.003,bridgeport
09001,2020-08-01,28,0.071,393,0.003,bridgeport
09001,2020-09-01,56,0.149,376,0.006,bridgeport
09001,2020-10-01,79,0.194,408,0.008,bridgeport
09001,2020-11-01,104,0.308,338,0.011,bridgeport
09001,2020-12-01,102,0.292,349,0.01,bridgeport
09001,2021-01-01,127,0.372,341,0.013,bridgeport
09001,2021-02-01,92,0.267,345,0.009,bridgeport
09001,2021-03-01,186,0.557,334,0.019,bridgeport
