month,month_last_day,month_filings,avg_filings,percentage_diff,month_test
01/2023,,1664,1590.5,1.04621188305564,2023-01-01
01/2024,,1517,1590.5,0.953788116944357,2024-01-01
01/2025,,1678,1590.5,1.05501414649481,2025-01-01
01/2026,,1395,1590.5,0.877082678403018,2026-01-01
02/2023,,1285,1347.5,0.953617810760668,2023-02-01
02/2024,,1423,1354,1.05096011816839,2024-02-01
02/2025,,1166,1347.5,0.86530612244898,2025-02-01
02/2026,,1343,1347.5,0.996660482374768,2026-02-01
03/2023,,1362,1278,1.06572769953052,2023-03-01
03/2024,,1194,1278,0.934272300469484,2024-03-01
03/2025,,1295,1278,1.0133020344288,2025-03-01
03/2026,,1236,1278,0.967136150234742,2026-03-01
04/2023,,1206,1348.5,0.894327030033371,2023-04-01
04/2024,,1491,1348.5,1.10567296996663,2024-04-01
04/2025,,1407,1348.5,1.04338153503893,2025-04-01
04/2026,,1260,1348.5,0.934371523915462,2026-04-01
05/2023,,1393,1491,0.934272300469484,2023-05-01
05/2024,,1589,1491,1.06572769953052,2024-05-01
05/2025,,1431,1491,0.959758551307847,2025-05-01
05/2026,,1458,1491,0.977867203219316,2026-05-01
06/2023,,1633,1589,1.02769037130271,2023-06-01
06/2024,,1545,1589,0.972309628697294,2024-06-01
06/2025,,1533,1589,0.964757709251101,2025-06-01
07/2023,,1585,1617.5,0.979907264296754,2023-07-01
07/2024,,1650,1617.5,1.02009273570325,2024-07-01
07/2025,,1585,1617.5,0.979907264296754,2025-07-01
08/2023,,1590,1579,1.00696643445218,2023-08-01
08/2024,,1568,1579,0.993033565547815,2024-08-01
08/2025,,1488,1579,0.942368587713743,2025-08-01
09/2023,,1459,1497.5,0.974290484140234,2023-09-01
09/2024,,1536,1497.5,1.02570951585977,2024-09-01
09/2025,,1473,1497.5,0.983639398998331,2025-09-01
10/2023,,1476,1493,0.98861352980576,2023-10-01
10/2024,,1510,1493,1.01138647019424,2024-10-01
10/2025,,1568,1493,1.05023442732753,2025-10-01
11/2023,,1488,1477,1.00744752877454,2023-11-01
11/2024,,1466,1477,0.992552471225457,2024-11-01
11/2025,,1246,1477,0.843601895734597,2025-11-01
12/2023,,1282,1350.5,0.949278045168456,2023-12-01
12/2024,,1419,1350.5,1.05072195483154,2024-12-01
12/2025,,1453,1350.5,1.07589781562384,2025-12-01
