group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed,baseline_share
Black,01/2025,,1566,1739,0.900517538815411,0.424879054865839,
Hispanic,01/2025,,767,890.5,0.861313868613139,0.205774529435322,
Other,01/2025,,2374,2726,0.870873074101247,0.0528410092110533,
White,01/2025,,3107,3650,0.851232876712329,0.316505406487785,
Female,01/2025,,,,,0.534612159028432,
