name,week,week_date,all_2020,all_avg,ratio,week_name
"Columbus, OH",35,08/23/2020,303,372.333333333333,0.813786929274843,Aug 23
"Columbus, OH",36,08/30/2020,370,337,1.09792284866469,Aug 30
"Columbus, OH",37,09/06/2020,139,401,0.346633416458853,Sep 6
"Columbus, OH",38,09/13/2020,366,547,0.669104204753199,Sep 13
"Fort Worth, TX",33,08/09/2020,302,1139,0.265144863915716,Aug 9
"Fort Worth, TX",34,08/16/2020,181,800.5,0.226108682073704,Aug 16
"Fort Worth, TX",35,08/23/2020,500,442.5,1.12994350282486,Aug 23
"Fort Worth, TX",36,08/30/2020,456,208.5,2.18705035971223,Aug 30
"Fort Worth, TX",37,09/06/2020,233,879,0.265073947667804,Sep 6
"Fort Worth, TX",38,09/13/2020,275,981.5,0.280183392766174,Sep 13
"Gainesville, FL",33,08/09/2020,16,26.6666666666667,0.6,Aug 9
"Gainesville, FL",34,08/16/2020,22,40,0.55,Aug 16
"Gainesville, FL",35,08/23/2020,28,31.3333333333333,0.893617021276596,Aug 23
"Gainesville, FL",36,08/30/2020,17,15,1.13333333333333,Aug 30
"Gainesville, FL",37,09/06/2020,13,21,0.619047619047619,Sep 6
"Gainesville, FL",38,09/13/2020,30,42.6666666666667,0.703125,Sep 13
"Hartford, CT",33,08/09/2020,9,133.333333333333,0.0675,Aug 9
"Hartford, CT",34,08/16/2020,9,105,0.0857142857142857,Aug 16
"Hartford, CT",35,08/23/2020,4,131.333333333333,0.0304568527918782,Aug 23
"Hartford, CT",36,08/30/2020,10,114.666666666667,0.0872093023255814,Aug 30
"Hartford, CT",37,09/06/2020,10,154.666666666667,0.0646551724137931,Sep 6
"Hartford, CT",38,09/13/2020,13,124.333333333333,0.10455764075067,Sep 13
"Houston, TX",33,08/09/2020,659,1860.5,0.35420585864015,Aug 9
"Houston, TX",34,08/16/2020,651,1589.5,0.409562755583517,Aug 16
"Houston, TX",35,08/23/2020,586,1340.25,0.437231859727663,Aug 23
"Houston, TX",36,08/30/2020,610,430.75,1.41613464886825,Aug 30
"Houston, TX",37,09/06/2020,470,1349,0.348406226834692,Sep 6
"Houston, TX",38,09/13/2020,583,1601.5,0.36403371838901,Sep 13
"Jacksonville, FL",33,08/09/2020,183,233.25,0.784565916398714,Aug 9
"Jacksonville, FL",34,08/16/2020,199,315.5,0.630744849445325,Aug 16
"Jacksonville, FL",35,08/23/2020,197,317.25,0.620961386918834,Aug 23
"Jacksonville, FL",36,08/30/2020,212,171.75,1.23435225618632,Aug 30
"Jacksonville, FL",37,09/06/2020,146,195.5,0.746803069053708,Sep 6
"Jacksonville, FL",38,09/13/2020,152,318.25,0.477611940298507,Sep 13
"Kansas City, MO",33,08/09/2020,126,191.75,0.657105606258149,Aug 9
"Kansas City, MO",34,08/16/2020,70,202,0.346534653465347,Aug 16
"Kansas City, MO",35,08/23/2020,97,180.5,0.537396121883656,Aug 23
"Kansas City, MO",36,08/30/2020,182,138.5,1.31407942238267,Aug 30
"Kansas City, MO",37,09/06/2020,46,196.5,0.234096692111959,Sep 6
"Kansas City, MO",38,09/13/2020,68,207.25,0.32810615199035,Sep 13
"Milwaukee, WI",33,08/09/2020,165,278.4,0.592672413793104,Aug 9
"Milwaukee, WI",34,08/16/2020,177,389.2,0.454779033915725,Aug 16
"Milwaukee, WI",35,08/23/2020,208,305.8,0.680183126226292,Aug 23
"Milwaukee, WI",36,08/30/2020,217,197.4,1.09929078014184,Aug 30
"Milwaukee, WI",37,09/06/2020,67,227.8,0.294117647058824,Sep 6
"Milwaukee, WI",38,09/13/2020,73,372.2,0.196131112305212,Sep 13
"Pittsburgh, PA",33,08/09/2020,16,289.75,0.0552200172562554,Aug 9
"Pittsburgh, PA",34,08/16/2020,17,269.125,0.0631676730143985,Aug 16
"Pittsburgh, PA",35,08/23/2020,23,286.5,0.0802792321116928,Aug 23
"Pittsburgh, PA",36,08/30/2020,274,242.875,1.12815234173958,Aug 30
"Pittsburgh, PA",37,09/06/2020,192,316,0.607594936708861,Sep 6
"Pittsburgh, PA",38,09/13/2020,145,280.375,0.517164511814534,Sep 13
"Richmond, VA",33,08/09/2020,37,207,0.178743961352657,Aug 9
"Richmond, VA",34,08/16/2020,186,768,0.2421875,Aug 16
"Richmond, VA",35,08/23/2020,249,477,0.522012578616352,Aug 23
"Richmond, VA",36,08/30/2020,287,70,4.1,Aug 30
"Richmond, VA",37,09/06/2020,31,128,0.2421875,Sep 6
"Richmond, VA",38,09/13/2020,0,648,0,Sep 13
"St Louis, MO",33,08/09/2020,127,321,0.395638629283489,Aug 9
"St Louis, MO",34,08/16/2020,124,345.75,0.358640636297903,Aug 16
"St Louis, MO",35,08/23/2020,286,330,0.866666666666667,Aug 23
"St Louis, MO",36,08/30/2020,119,272.75,0.436296975252062,Aug 30
"St Louis, MO",37,09/06/2020,59,348.25,0.169418521177315,Sep 6
"St Louis, MO",38,09/13/2020,50,361.25,0.13840830449827,Sep 13
