name,week,week_date,all_2020,all_avg,ratio,week_name
"Austin, TX",33,08/09/2020,15,296.666666666667,0.050561797752809,Aug 9
"Austin, TX",34,08/16/2020,14,264.333333333333,0.0529634300126103,Aug 16
"Austin, TX",35,08/23/2020,7,143.833333333333,0.048667439165701,Aug 23
"Austin, TX",36,08/30/2020,18,61.1666666666667,0.294277929155313,Aug 30
"Austin, TX",37,09/06/2020,8,210.333333333333,0.0380348652931854,Sep 6
"Austin, TX",38,09/13/2020,21,321.333333333333,0.0653526970954357,Sep 13
"Boston, MA",33,08/09/2020,3,217.25,0.0138089758342923,Aug 9
"Boston, MA",34,08/16/2020,3,157.666666666667,0.0190274841437632,Aug 16
"Boston, MA",35,08/23/2020,2,165.916666666667,0.012054244098443,Aug 23
"Boston, MA",36,08/30/2020,1,112.75,0.00886917960088692,Aug 30
"Boston, MA",37,09/06/2020,5,172.75,0.0289435600578871,Sep 6
"Boston, MA",38,09/13/2020,2,185.916666666667,0.0107575078440161,Sep 13
"Bridgeport, CT",33,08/09/2020,0,75,0,Aug 9
"Bridgeport, CT",34,08/16/2020,12,80.3333333333333,0.149377593360996,Aug 16
"Bridgeport, CT",35,08/23/2020,8,78.6666666666667,0.101694915254237,Aug 23
"Bridgeport, CT",36,08/30/2020,8,78,0.102564102564103,Aug 30
"Bridgeport, CT",37,09/06/2020,9,103.333333333333,0.0870967741935484,Sep 6
"Bridgeport, CT",38,09/13/2020,19,74,0.256756756756757,Sep 13
"Cincinnati, OH",33,08/09/2020,129,287.6,0.448539638386648,Aug 9
"Cincinnati, OH",34,08/16/2020,135,342.8,0.393815635939323,Aug 16
"Cincinnati, OH",35,08/23/2020,316,273.4,1.15581565471836,Aug 23
"Cincinnati, OH",36,08/30/2020,256,177.6,1.44144144144144,Aug 30
"Cincinnati, OH",37,09/06/2020,95,283.8,0.334742776603242,Sep 6
"Cincinnati, OH",38,09/13/2020,123,328.6,0.374315276932441,Sep 13
"Cleveland, OH",33,08/09/2020,97,267.5,0.362616822429907,Aug 9
"Cleveland, OH",34,08/16/2020,124,259.5,0.477842003853565,Aug 16
"Cleveland, OH",35,08/23/2020,116,197.25,0.58808618504436,Aug 23
"Cleveland, OH",36,08/30/2020,79,180.5,0.437673130193906,Aug 30
"Cleveland, OH",37,09/06/2020,0,228.5,0,Sep 6
"Cleveland, OH",38,09/13/2020,0,246,0,Sep 13
"Columbus, OH",33,08/09/2020,108,348.666666666667,0.309751434034417,Aug 9
"Columbus, OH",34,08/16/2020,380,391.666666666667,0.970212765957447,Aug 16
