position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2022-03-31,2023-03-04,ASHLEY OAKS APARTMENTS,78 ASHLEY HALL PLANTATION RD,213,0.363,32.817073,-80.030817
2,2022-03-31,2023-03-04,COLONIAL GRAND AT COMMERCE PARK,3785 LADSON RD,117,0.363,32.971408,-80.141227
3,2022-03-31,2023-03-04,AVIAN PLACE APARTMENTS,5600 DORCHESTER RD,116,0.363,32.862819,-80.048638
4,2022-03-31,2023-03-04,ARIUM SAINT IVES,7930 ST IVES RD,98,0.363,32.950194,-80.045485
5,2022-03-31,2023-03-04,DONAREE VILLAGE,6701 DORCHESTER RD,87,0.363,32.882086,-80.065491
6,2022-03-31,2023-03-04,ALTA SHORES,2605 ELMS PLANTATION BLVD,84,0.363,32.980297,-80.061823
7,2022-03-31,2023-03-04,GREENWOOD AT ASHLEY RIVER,6520 DORCHESTER RD,83,0.363,32.878285,-80.06221
8,2022-03-31,2023-03-04,DWELL AT GREENRIDGE,7910 CROSSROADS DR,80,0.363,32.946725,-80.048045
9,2022-03-31,2023-03-04,ARIUM NORTH CHARLESTON,2225 GREENRIDGE RD,73,0.363,32.952727,-80.049372
10,2022-03-31,2023-03-04,SPANISH OAKS APARTMENTS,1515 ASHLEY RIVER RD,68,0.363,32.798219,-80.00718
