position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-02-01,2026-01-31,SHEPARD INVESTMENT GROUP LLC,650 THRONE DR,47,0.417,44.067054,-123.183106
2,2025-02-01,2026-01-31,AVENUE5 RESIDENTIAL LLC,317 30TH ST,33,0.417,44.052975000000004,-122.982129
3,2025-02-01,2026-01-31,CHASE VILLAGE,265 MARCHE CHASE DR,28,0.417,44.057787,-123.057013
4,2025-02-01,2026-01-31,SHEPARD INVESTMENT GROUP LLC,1475 BAILEY HILL RD,28,0.417,44.045124,-123.144961
5,2025-02-01,2026-01-31,CAMPUS ADVANTAGE,NADEAU RD,23,0.417,44.128071,-122.919503
6,2025-02-01,2026-01-31,PARKGROVE APARTMENTS LLC,3163 KINSROW AVE,22,0.417,44.061278,-123.061375
7,2025-02-01,2026-01-31,CAMPUS ADVANTAGE,3225 KINSROW AVE,21,0.417,44.058945,-123.061114
8,2025-02-01,2026-01-31,SHEPARD INVESTMENT GROUP LLC,1334 OAK PATCH RD,21,0.417,44.045047,-123.13763
9,2025-02-01,2026-01-31,SHEPARD INVESTMENT GROUP LLC,1071 FAIRFIELD AVE,21,0.417,44.0719,-123.1473
10,2025-02-01,2026-01-31,COUNTRYSIDE LLC,565 HARLOW RD,19,0.417,44.07035,-123.034531
