position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2/28/2022,3/4/2023,"LAKE CASTLETON APARTMENTS, LLC ",7923 CARLTON ARMS RD,324,0.359,39.8987,-86.043949
2,2/28/2022,3/4/2023,LAWRENCE LANDING APARTMENTS,6910 E 42ND ST,227,0.359,39.833472,-86.048018
3,2/28/2022,3/4/2023,THE BOARDWALK AT WESTLAKE MANAGED ,6039 LAKEVIEW DR,222,0.359,39.775617,-86.263403
4,2/28/2022,3/4/2023,SCARBOROUGH LAKE APARTMENTS,6454 WHITEHAVEN RD,221,0.359,39.83865,-86.274859
5,2/28/2022,3/4/2023,ASTORIA PARK APARTMENTS,7150 WHARFSIDE LN,199,0.359,39.817516,-86.286106
6,2/28/2022,3/4/2023,STONE LAKE APTS,2854 CLEAR LAKE WAY,194,0.359,39.706223,-86.114424
7,2/28/2022,3/4/2023,THE OWNER OF ABNEY LAKE APARTMENTS,3547 LEATHERBURY LN,173,0.359,39.819731,-86.219993
8,2/28/2022,3/4/2023,KNOLL RIDGE TOWNHOMES AND APARTMENTS,11337 E NEW YORK ST,172,0.359,39.778217,-85.963781
9,2/28/2022,3/4/2023,SOUTHPORT AT BUCK CREEK,1414 ANNISTON ST,161,0.359,39.659222,-86.134308
10,2/28/2022,3/4/2023,KINGSTON SQUARE APARTMENTS,7101 TWIN OAKS DR,161,0.359,39.821545,-86.044029
11,2/28/2022,3/4/2023,THE PARK AT GREENHILL APARTMENTS,73 PORT ROBERT DR,161,0.359,39.768121,-86.263042
12,2/28/2022,3/4/2023,THE LIFE AT HARRISON TRAILS,5301 JONATHAN TRCE,160,0.359,39.849498,-86.041827
13,2/28/2022,3/4/2023,OAKS OF EAGLE CREEK,5349 HOLLY SPRINGS DR W,153,0.359,39.847931,-86.281609
14,2/28/2022,3/4/2023,THE RETREAT NORTHWEST ,1077 TENNIS COURT CIR,152,0.359,39.92334,-86.178112
15,2/28/2022,3/4/2023,SPANISH OAKS APARTMENTS,3646 WINGATE TER,152,0.359,39.825915,-85.980629
