site_id,serial_share,filings_pandemic,filings_past_year,filings_past_month,filings_pandemic_pct_hist,filings_past_year_pct_hist,filings_past_month_pct_hist,median_rent,renter_hh,hhs_threatened_rate,eviction_filing_rate,site,latest_update
45019,0.3765296517100722,29369,10246,867,0.5210410531171273,0.6871898054996647,0.6965254067081743,1346,57055,0.1117167645254579,0.17958110595039875,charleston,2024-01-01
39061,0.29308827842408836,41349,12789,1155,0.8468505001351717,1.0001407657657657,1.1453788179293931,906,143075,0.07149397169316792,0.08938668530491001,cincinnati,2024-01-01
39035,0.1680335338071806,19253,6523,533,0.6076808357860349,0.7841793646500165,0.8593309149536478,799,104282,0.05261694252124048,0.06255154293166607,cleveland,2024-01-01
39049,0.28631238137769344,68819,23768,1677,0.9885041511457546,1.298159375170681,1.2349042709867453,1102,257009,0.06970183923520187,0.09247925169935683,columbus,2024-01-01
09,0.16124678663239075,55051,20622,1611,0.7366817583692035,1.0476174348901,1.0654761904761905,1277,476797,0.032634433522023,0.04325111105984308,connecticut,2024-01-01
09001,0.17080125463358997,11509,4490,348,0.756573757559821,1.121471984014653,1.0609756097560976,1644,118307,0.02964321637772913,0.0379521076521254,bridgeport,2024-01-01
09003,0.14649956784788246,17600,6635,525,0.7666840913051054,1.0971173455327123,1.1314655172413792,1221,121667,0.038038251949994654,0.05453409716685708,hartford,2024-01-01
48113,0.22985547416353197,115974,37941,2996,0.7567288932968803,0.940079948462974,0.9193003988953666,1273,482309,0.06283523633189511,0.07866533695203697,dallas,2024-01-01
10003,0.3407147862648914,24285,8470,620,0.5639510243891112,0.749972329828445,0.6785225718194254,1236,70242,0.10157740383246491,0.12058312690413144,wilmington,2024-01-01
10,0.33773234200743496,37002,13094,947,0.5530673024105704,0.7461393811613197,0.6798277099784638,1208,108545,0.09912939333916809,0.12063199594638169,delaware,2024-01-01
48439,0.24406253729562,120494,45957,3414,0.843519366033879,1.22400223722584,1.0851875397329942,1287,442278,0.07578039151845671,0.10390975811593613,fortworth,2024-01-01
12001,0.07358156028368794,5230,1217,243,0.9736874767283105,1.5049464138499582,1.653061224489796,1134,47058,0.02397041948234094,0.05172340515959029,gainesville,2023-07-01
12086,0.12276180743768605,107892,23549,3995,0.7593464960024024,1.1323993780755603,1.053070907653105,1520,908385,0.024776939293361295,0.051848060018604446,miami,2023-07-01
48201,0.23435548152995062,224520,83939,6386,1.0126993362786954,1.437976461720316,1.4438164141985077,1168,832215,0.08080123525771586,0.10086215701471375,houston,2024-01-01
45045,0.3601909877648463,44494,15092,1152,0.8107581155076121,1.0422831885909631,0.9360146252285192,1077,61820,0.1626172759624717,0.24412811387900357,greenville,2024-01-01
12103,0.08799266727772685,49754,9859,1771,0.8619627783287929,1.1710764662212323,1.1613114754098361,1313,350246,0.03737944187799432,0.056297573705338534,tampa,2023-07-01
18,0.20304559180967813,222855,73146,4801,0.8026255368574593,1.004070034797768,0.9315998835742699,905,774845,0.07008885648097361,0.09440081564700037,indiana,2024-01-01
18097,0.2465729654693736,81919,27244,1681,0.7203997775105364,0.9135460939399274,0.7803179760937682,960,169686,0.10188819348679325,0.1605553787584126,indianapolis,2024-01-01
18141,0.1753410813542193,8241,2702,219,0.7083700440528634,0.8830065359477124,1.1853856562922869,906,32277,0.06131300926356229,0.08371286055085665,southbend,2024-01-01
12031,0.1623199688594784,41590,13867,1097,0.9346739540820912,1.2695695164155054,1.2534277879341864,1203,166485,0.0771540979667838,0.09086486088017758,jacksonville,2023-12-01
32003,0.37070806163079234,162279,53204,4234,1.1928157180974222,1.588013192651514,1.403729796933278,1325,370204,0.09361865349915181,0.1567803893872764,lasvegas,2023-12-01
47157,0.2750867169965313,83277,29231,1319,0.8127995158944729,1.0856352308706512,0.6730450312539865,1043,163597,0.1497888103082575,0.17867687060276166,memphis,2024-01-01
55079,0.2450723289061839,42067,13877,1083,0.8443424818655139,1.0664115332595598,1.1472457627118644,954,193302,0.06115301445406669,0.0717892210116812,milwaukee,2024-01-01
27,0.13063861414441713,53381,24211,1982,0.8350730362345764,1.4381989099603487,1.5279946034499374,1113,615932,0.02839761532117182,0.039307910613509287,minnesota,2024-01-01
27053,0.12527869200552075,27252,13413,1150,0.88404457204029,1.6509577659819987,1.7982799061767005,1265,274851,0.03426947691658389,0.048800986716439086,minneapolis,2024-01-01
29,0.15278568645667875,113722,37115,1784,0.706210751018824,0.878134186664143,0.5742797360373411,882,770131,0.043326395119791306,0.04819309961551996,missouri,2024-01-01
29095,0.16131787675411838,25229,9051,379,0.7298790719203841,0.999227202472952,0.567153011597456,1044,122228,0.06704683051346663,0.07405013581176162,kansascity,2024-01-01
29510,0.16521988664897053,42465,15619,790,0.7414359045989454,1.0402437603023693,0.7798617966436328,951,198599,0.07018665753603996,0.07864591463199715,stlouis,2024-01-01
35,0.23758400262252088,42683,15667,1262,0.6639513841718566,0.9249980319609548,0.9757731958762911,906,254299,0.04798288628740184,0.06160857887762044,newmexico,2024-01-01
35001,0.2980096826250672,25614,9699,751,0.6190944247502415,0.8895988748929922,0.8776782236073234,946,103857,0.0715984478658155,0.09338802391750195,albuquerque,2024-01-01
22071,0.17928183931800568,16764,5950,471,0.7172685264418963,0.9693711306614532,1.097902097902098,1082,75311,0.05140019386278233,0.07900572293556055,neworleans,2024-01-01
42101,0.13556566970091027,37182,13071,968,0.4630905082761455,0.6181676302628312,0.5770491803278689,1181,311986,0.03943766707480464,0.04189611072291705,philadelphia,2024-01-01
