id,month_date,month_filings,month_rate,month_rate_scale_max,month_diff,pct_white,pct_black,pct_hispanic
85001,01/10/2024,44,Inf,Inf,1.83673469387755,,,
85002,01/10/2024,0,,Inf,1,,,
85003,01/10/2024,484,0.169645986680687,Inf,1.08138238573021,0.599018576936558,0.0918331580792148,0.267437784787943
85004,01/10/2024,782,0.294983025273482,Inf,0.948516050878256,0.678989060731799,0.047152018106375,0.213881554130517
85005,01/10/2024,1,Inf,Inf,0.8,,,
85006,01/10/2024,458,0.0788703289133804,Inf,0.874285714285714,0.32047528844498,0.0881694506629929,0.523161701394868
85007,01/10/2024,266,0.0812958435207824,Inf,0.990723562152134,0.290647921760391,0.181540342298289,0.43979217603912
85008,01/10/2024,2298,0.139399454049136,Inf,0.961120401337793,0.358629056718229,0.163785259326661,0.399029420685472
85009,01/10/2024,558,0.0728079331941545,Inf,1.13849287169043,0.148877870563674,0.0681106471816284,0.754827766179541
85010,01/10/2024,0,,Inf,0.666666666666667,,,
85011,01/10/2024,0,,Inf,1,,,
85012,01/10/2024,303,0.154749744637385,Inf,1.17374517374517,0.56435137895812,0.0653728294177732,0.258426966292135
85013,01/10/2024,825,0.148568341437061,Inf,0.880597014925373,0.499549792904736,0.0822978570142265,0.25535746443364
85014,01/10/2024,1038,0.120347826086957,Inf,0.901518438177874,0.524753623188406,0.0691014492753623,0.289159420289855
85015,01/10/2024,1722,0.15335292546086,Inf,0.924108340037544,0.281414195386945,0.165375367352391,0.47893846290854
85016,01/10/2024,1483,0.170754173862982,Inf,1.03848845346396,0.541393206678181,0.0729994242947611,0.278411053540587
85017,01/10/2024,977,0.150678593460827,Inf,0.905555555555556,0.192473781616286,0.140499691548427,0.561998766193708
85018,01/10/2024,933,0.118747613592974,Inf,0.933533233383308,0.606974672266769,0.0794196258113784,0.269313987527046
85019,01/10/2024,444,0.11138986452584,Inf,0.872549019607843,0.193677872553939,0.0699949824385349,0.641996989463121
85020,01/10/2024,790,0.101594650205761,Inf,0.957047791893527,0.54809670781893,0.0914351851851852,0.312371399176955
85021,01/10/2024,1821,0.177347097779509,Inf,0.914429109159348,0.400467471756915,0.156700428515777,0.291001168679392
85022,01/10/2024,1672,0.149259060881985,Inf,0.97013627138301,0.600249955365113,0.0778432422781646,0.214604534904481
85023,01/10/2024,1158,0.210277828218631,Inf,0.879696394686907,0.594697657526784,0.0867986199382604,0.22008353005266
85024,01/10/2024,282,0.092217135382603,Inf,0.777472527472528,0.71190320470896,0.052648790058862,0.142903858731197
85026,01/10/2024,0,,Inf,1,,,
85027,01/10/2024,862,0.125747629467542,Inf,0.963169642857143,0.538001458789205,0.0408460977388767,0.185412107950401
85028,01/10/2024,139,0.103115727002967,Inf,0.813953488372093,0.723293768545994,0.0912462908011869,0.123887240356083
85029,01/10/2024,2137,0.252034438023352,Inf,1.07383224510296,0.601839839603727,0.123481542634745,0.210166293194952
85030,01/10/2024,0,,Inf,1,,,
85031,01/10/2024,582,0.159670781893004,Inf,0.923930269413629,0.244444444444444,0.0496570644718793,0.68477366255144
85032,01/10/2024,989,0.0807083401338339,Inf,1.01382488479263,0.603721233882814,0.0601436265709156,0.235025297861923
85033,01/10/2024,1189,0.144752860969077,Inf,0.856731461483081,0.128439250060872,0.0889943998052106,0.736669101533966
85034,01/10/2024,334,0.174503657262278,Inf,1.13945578231293,0.278474399164054,0.152560083594566,0.491118077324974
85035,01/10/2024,2803,0.322183908045977,Inf,1.01483894317771,0.139540229885057,0.158390804597701,0.643448275862069
85036,01/10/2024,0,,Inf,1,,,
85037,01/10/2024,1815,0.291566265060241,Inf,1.39263803680982,0.183453815261044,0.123694779116466,0.636787148594378
85040,01/10/2024,854,0.145016131771099,Inf,1.05166051660517,0.134148412294108,0.303447104771608,0.51808456444218
85041,01/10/2024,939,0.179335370511841,Inf,1.04502501389661,0.171886936592819,0.246180290297937,0.553475935828877
85042,01/10/2024,1140,0.192958700067705,Inf,1.05550416281221,0.257616790792146,0.162830060934326,0.472579553148274
85043,01/10/2024,806,0.223516361619523,Inf,1.07100199071002,0.184692179700499,0.112035496394897,0.678868552412646
85044,01/10/2024,1437,0.214734010759115,Inf,0.827149841817659,0.524656306037059,0.178720860729229,0.170502092050209
85045,01/10/2024,8,0.037914691943128,Inf,1.05882352941176,0.748815165876777,0.123222748815166,0
85046,01/10/2024,0,,Inf,0.666666666666667,,,
85048,01/10/2024,269,0.0652121212121212,Inf,0.976491862567812,0.537212121212121,0.110545454545455,0.24
85050,01/10/2024,91,0.0297677461563625,Inf,1.02793296089385,0.750736015701668,0.00490677134445535,0.13738959764475
85051,01/10/2024,1326,0.193379028729765,Inf,0.953989935298346,0.399154149044772,0.102668805600117,0.351757328277673
85053,01/10/2024,848,0.171313131313131,Inf,0.968625213918996,0.673737373737374,0.106262626262626,0.157979797979798
85054,01/10/2024,262,0.101353965183752,Inf,1.05835010060362,0.713733075435203,0.0657640232108317,0.0982591876208897
85060,01/10/2024,0,,Inf,1,,,
85061,01/10/2024,0,,Inf,1,,,
85063,01/10/2024,0,,Inf,0.666666666666667,,,
85064,01/10/2024,0,,Inf,1,,,
85066,01/10/2024,1,Inf,Inf,1.33333333333333,,,
85067,01/10/2024,1,Inf,Inf,2,,,
85068,01/10/2024,1,Inf,Inf,1.33333333333333,,,
85069,01/10/2024,1,Inf,Inf,2,,,
85070,01/10/2024,0,,Inf,1,,,
85071,01/10/2024,0,,Inf,1,,,
85074,01/10/2024,0,,Inf,1,,,
85076,01/10/2024,0,,Inf,1,,,
