state,pha_sefr,open_sefr,alignment
AL,0.1865671641791045,0.07161125319693094,
AZ,0,0.24107023411371237,
CO,0.23615160349854228,0.2605467431657104,
CT,0.22131147540983606,0.10503175378602833,
DE,0.5833333333333334,0.49476570289132604,
FL,0.142570281124498,0.10387596899224806,
GA,0.4774066797642436,0.32344146685472497,
IA,0.1509433962264151,0.26108374384236455,
IL,0.27956989247311825,0.10040567951318459,
IN,0.08771929824561403,0.18341851220897218,
KS,0.546742209631728,0.1793193717277487,
KY,0.6778733385457388,0.277563202247191,
MA,0.3472889498970487,0.22245108135942326,
MD,0.7166666666666667,0.798522622345337,
MI,0.44871794871794873,0.24963503649635035,
MN,0.319672131147541,0.15666713502880428,
MO,0.25539568345323743,0.14717652289906624,
NC,0.5584826132771338,0.37496060234634915,
NE,0.2980769230769231,0.17448364888123924,
NM,0.03225806451612903,0.2331681725444477,
OH,0.3872271624898949,0.18087968649470668,
OR,0.18041237113402062,0.2108682811577082,
SC,0.657562168772931,0.465283540802213,
TX,0.3341194968553459,0.21052631578947367,
UT,1,0.06896551724137931,
VA,0.6365040148239655,0.4696590665427775,
WA,0.0913978494623656,0.08789514263685427,
WI,0.2007042253521127,0.1985429730726669,
