month,category,households, 
1/1/2021,protected by state moratoria,19472097
2/1/2021,protected by state moratoria,19472097
3/1/2021,protected by state moratoria,19472097
4/1/2021,protected by state moratoria,19472097
5/1/2021,protected by state moratoria,19472097
6/1/2021,protected by state moratoria,18610996
7/1/2021,protected by state moratoria,16766383
8/1/2021,protected by state moratoria,16084267
9/1/2021,protected by state moratoria,15165165
10/1/2021,protected by state moratoria,8220322
11/1/2021,protected by state moratoria,6576903
12/1/2021,protected by state moratoria,6576903
1/1/2021,Cumulative Households Receiving ERA,13479.6
2/1/2021,Cumulative Households Receiving ERA,44932
3/1/2021,Cumulative Households Receiving ERA,89864
4/1/2021,Cumulative Households Receiving ERA,203611.45
5/1/2021,Cumulative Households Receiving ERA,385330.5
6/1/2021,Cumulative Households Receiving ERA,721715
7/1/2021,Cumulative Households Receiving ERA,1092677
8/1/2021,Cumulative Households Receiving ERA,1547920
9/1/2021,Cumulative Households Receiving ERA,2062240
10/1/2021,Cumulative Households Receiving ERA,2593090
11/1/2021,Cumulative Households Receiving ERA,3273946
12/1/2021,Cumulative Households Receiving ERA,3832931
